# E(MeV)      b_pair      b_brem     b_nucl     b_total(cm^2/g)
2.23468e+03      6.57465e-08      1.13193e-07      2.20027e-07      3.98966e-07
3.42991e+03      7.99603e-08      1.31903e-07      2.10928e-07      4.22792e-07
5.26441e+03      1.01777e-07      1.51660e-07      2.02693e-07      4.56130e-07
8.08011e+03      1.35261e-07      1.72301e-07      1.95321e-07      5.02883e-07
1.24018e+04      1.86655e-07      1.93619e-07      1.88813e-07      5.69088e-07
1.90350e+04      2.65538e-07      2.15403e-07      1.83169e-07      6.64110e-07
2.92159e+04      2.80719e-07      2.37415e-07      1.78388e-07      6.96523e-07
4.48422e+04      3.04020e-07      2.59414e-07      1.74471e-07      7.37905e-07
6.88263e+04      3.39784e-07      2.81151e-07      1.71394e-07      7.92329e-07
1.05638e+05      3.94677e-07      3.02353e-07      1.69205e-07      8.66235e-07
1.62140e+05      4.78929e-07      3.22746e-07      1.67880e-07      9.69555e-07
2.48861e+05      4.88050e-07      3.42110e-07      1.67419e-07      9.97579e-07
3.81966e+05      5.02049e-07      3.60192e-07      1.67821e-07      1.03006e-06
5.86262e+05      5.23536e-07      3.76806e-07      1.69087e-07      1.06943e-06
8.99828e+05      5.56515e-07      3.91818e-07      1.71217e-07      1.11955e-06
1.38111e+06      6.07133e-07      4.05127e-07      1.74210e-07      1.18647e-06
2.11980e+06      6.09977e-07      4.16720e-07      1.78066e-07      1.20476e-06
3.25358e+06      6.14344e-07      4.26617e-07      1.82787e-07      1.22375e-06
4.99378e+06      6.21045e-07      4.34902e-07      1.88371e-07      1.24432e-06
7.66473e+06      6.31331e-07      4.41708e-07      1.94818e-07      1.26786e-06
1.17643e+07      6.47118e-07      4.47200e-07      2.02129e-07      1.29645e-06
1.80564e+07      6.47878e-07      4.51559e-07      2.10304e-07      1.30974e-06
2.77140e+07      6.49044e-07      4.54957e-07      2.19342e-07      1.32334e-06
4.25370e+07      6.50833e-07      4.57567e-07      2.29244e-07      1.33764e-06
6.52881e+07      6.53579e-07      4.59542e-07      2.40010e-07      1.35313e-06
1.00208e+08      6.57794e-07      4.61018e-07      2.51639e-07      1.37045e-06
1.53805e+08      6.57966e-07      4.62108e-07      2.64132e-07      1.38421e-06
2.36068e+08      6.58230e-07      4.62905e-07      2.77436e-07      1.39857e-06
3.62330e+08      6.58634e-07      4.63482e-07      2.91663e-07      1.41378e-06
5.56124e+08      6.59256e-07      4.63896e-07      3.06754e-07      1.42991e-06
8.53570e+08      6.60209e-07      4.64191e-07      3.22708e-07      1.44711e-06
1.31011e+09      6.60237e-07      4.64420e-07      3.39525e-07      1.46418e-06
2.01082e+09      6.60280e-07      4.64563e-07      3.57206e-07      1.48205e-06
3.08632e+09      6.60347e-07      4.64660e-07      3.75750e-07      1.50076e-06
4.73706e+09      6.60448e-07      4.64726e-07      3.95157e-07      1.52033e-06
7.27071e+09      6.60605e-07      4.64771e-07      4.15428e-07      1.54080e-06
1.11595e+10      6.60609e-07      4.64800e-07      4.36561e-07      1.56197e-06
1.71282e+10      6.60616e-07      4.64819e-07      4.58558e-07      1.58399e-06
2.62893e+10      6.60626e-07      4.64832e-07      4.81419e-07      1.60688e-06
4.03503e+10      6.60642e-07      4.64841e-07      5.05143e-07      1.63063e-06
6.19318e+10      6.60667e-07      4.64846e-07      5.29730e-07      1.65524e-06
9.50564e+10      6.60668e-07      4.64850e-07      5.55180e-07      1.68070e-06
1.45898e+11      6.60669e-07      4.64852e-07      5.81493e-07      1.70701e-06
2.23932e+11      6.60671e-07      4.64854e-07      6.08670e-07      1.73419e-06
3.43703e+11      6.60673e-07      4.64855e-07      6.36710e-07      1.76224e-06
5.27535e+11      6.60677e-07      4.64855e-07      6.65614e-07      1.79115e-06
8.09690e+11      6.60677e-07      4.64856e-07      6.95381e-07      1.82091e-06
1.24276e+12      6.60677e-07      4.64856e-07      7.26011e-07      1.85154e-06
1.90745e+12      6.60677e-07      4.64856e-07      7.57504e-07      1.88304e-06
2.92766e+12      6.60678e-07      4.64856e-07      7.89861e-07      1.91539e-06
4.49354e+12      6.60678e-07      4.64856e-07      8.23081e-07      1.94862e-06
6.89694e+12      6.60678e-07      4.64856e-07      8.57164e-07      1.98270e-06
1.05858e+13      6.60678e-07      4.64856e-07      8.92111e-07      2.01765e-06
1.62477e+13      6.60678e-07      4.64856e-07      9.27920e-07      2.05346e-06
2.49378e+13      6.60678e-07      4.64856e-07      9.64594e-07      2.09013e-06
3.82760e+13      6.60678e-07      4.64856e-07      1.00213e-06      2.12766e-06
5.87481e+13      6.60678e-07      4.64856e-07      1.04053e-06      2.16606e-06
9.01698e+13      6.60678e-07      4.64856e-07      1.07979e-06      2.20533e-06
1.38398e+14      6.60678e-07      4.64856e-07      1.11992e-06      2.24545e-06
2.12420e+14      6.60678e-07      4.64856e-07      1.16091e-06      2.28644e-06
3.26035e+14      6.60678e-07      4.64856e-07      1.20276e-06      2.32830e-06
5.00416e+14      6.60678e-07      4.64856e-07      1.24548e-06      2.37101e-06
7.68066e+14      6.60678e-07      4.64856e-07      1.28906e-06      2.41459e-06
1.17887e+15      6.60678e-07      4.64856e-07      1.33350e-06      2.45904e-06
1.80940e+15      6.60678e-07      4.64856e-07      1.37881e-06      2.50434e-06
2.77716e+15      6.60678e-07      4.64856e-07      1.42498e-06      2.55052e-06
4.26254e+15      6.60678e-07      4.64856e-07      1.47201e-06      2.59755e-06
6.54238e+15      6.60678e-07      4.64856e-07      1.51991e-06      2.64545e-06
1.00416e+16      6.60678e-07      4.64856e-07      1.56868e-06      2.69421e-06
1.54124e+16      6.60678e-07      4.64856e-07      1.61830e-06      2.74384e-06
2.36558e+16      6.60678e-07      4.64856e-07      1.66880e-06      2.79433e-06
3.63083e+16      6.60678e-07      4.64856e-07      1.72015e-06      2.84569e-06
5.57280e+16      6.60678e-07      4.64856e-07      1.77237e-06      2.89790e-06
