# T(MeV)      dEdx
1.00000e+00      5.49636e+01
1.53486e+00      3.83514e+01
2.35578e+00      2.67580e+01
3.61578e+00      1.87097e+01
5.54971e+00      1.31510e+01
8.51800e+00      9.33212e+00
1.30739e+01      6.72476e+00
2.00665e+01      4.95904e+00
3.07992e+01      3.77784e+00
4.72724e+01      3.00360e+00
7.25562e+01      2.51427e+00
1.11363e+02      2.22575e+00
1.70927e+02      2.02525e+00
2.62348e+02      1.92299e+00
4.02666e+02      1.88838e+00
6.18034e+02      1.89573e+00
9.48593e+02      1.92779e+00
1.45595e+03      1.97364e+00
2.23468e+03      2.02667e+00
3.42991e+03      2.08297e+00
5.26441e+03      2.14019e+00
8.08011e+03      2.19685e+00
1.24018e+04      2.25199e+00
1.90350e+04      2.30501e+00
2.92159e+04      2.35571e+00
4.48422e+04      2.40420e+00
6.88263e+04      2.45083e+00
1.05638e+05      2.49607e+00
1.62140e+05      2.54041e+00
2.48861e+05      2.58430e+00
3.81966e+05      2.62811e+00
5.86262e+05      2.67212e+00
8.99828e+05      2.71653e+00
1.38111e+06      2.76151e+00
2.11980e+06      2.80715e+00
3.25358e+06      2.85355e+00
4.99378e+06      2.90077e+00
7.66473e+06      2.94887e+00
1.17643e+07      2.99789e+00
1.80564e+07      3.04787e+00
2.77140e+07      3.09884e+00
4.25370e+07      3.15084e+00
6.52881e+07      3.20390e+00
1.00208e+08      3.25804e+00
1.53805e+08      3.31331e+00
2.36068e+08      3.36972e+00
3.62330e+08      3.42730e+00
5.56124e+08      3.48609e+00
8.53570e+08      3.54611e+00
1.31011e+09      3.60739e+00
2.01082e+09      3.66995e+00
3.08632e+09      3.73383e+00
4.73706e+09      3.79906e+00
7.27071e+09      3.86566e+00
1.11595e+10      3.93366e+00
1.71282e+10      4.00309e+00
2.62893e+10      4.07397e+00
4.03503e+10      4.14634e+00
6.19318e+10      4.22022e+00
9.50564e+10      4.29564e+00
1.45898e+11      4.37263e+00
2.23932e+11      4.45122e+00
3.43703e+11      4.53143e+00
5.27535e+11      4.61329e+00
8.09690e+11      4.69683e+00
1.24276e+12      4.78208e+00
1.90745e+12      4.86907e+00
2.92766e+12      4.95782e+00
4.49354e+12      5.04837e+00
6.89694e+12      5.14074e+00
1.05858e+13      5.23495e+00
1.62477e+13      5.33104e+00
2.49378e+13      5.42904e+00
3.82760e+13      5.52897e+00
5.87481e+13      5.63086e+00
9.01698e+13      5.73473e+00
1.38398e+14      5.84063e+00
2.12420e+14      5.94857e+00
3.26035e+14      6.05858e+00
5.00416e+14      6.17070e+00
7.68066e+14      6.28494e+00
1.17887e+15      6.40134e+00
1.80940e+15      6.51992e+00
2.77716e+15      6.64072e+00
4.26254e+15      6.76376e+00
6.54238e+15      6.88907e+00
1.00416e+16      7.01667e+00
1.54124e+16      7.14660e+00
2.36558e+16      7.27888e+00
3.63083e+16      7.41355e+00
5.57280e+16      7.55062e+00
8.55344e+16      7.69013e+00
1.31283e+17      7.83211e+00
2.01500e+17      7.97658e+00
3.09274e+17      8.12357e+00
4.74691e+17      8.27311e+00
7.28582e+17      8.42522e+00
1.11827e+18      8.57994e+00
1.71638e+18      8.73730e+00
2.63439e+18      8.89732e+00
