# E(MeV)      dEdx_ion(MeV.cm^2/g)      dEdx_rad(MeV.cm^2/g)
1.00000e+00      5.49636e+01      0.00000e+00
1.53486e+00      3.83514e+01      0.00000e+00
2.35578e+00      2.67580e+01      0.00000e+00
3.61578e+00      1.87097e+01      0.00000e+00
5.54971e+00      1.31510e+01      0.00000e+00
8.51800e+00      9.33212e+00      0.00000e+00
1.30739e+01      6.72476e+00      0.00000e+00
2.00665e+01      4.95904e+00      0.00000e+00
3.07992e+01      3.77784e+00      0.00000e+00
4.72724e+01      3.00360e+00      0.00000e+00
7.25562e+01      2.51427e+00      0.00000e+00
1.11363e+02      2.19540e+00      0.00000e+00
1.70927e+02      1.98783e+00      0.00000e+00
2.62348e+02      1.88418e+00      0.00000e+00
4.02666e+02      1.84786e+00      0.00000e+00
6.18034e+02      1.85343e+00      0.00000e+00
9.48593e+02      1.88390e+00      0.00000e+00
1.45595e+03      1.92852e+00      0.00000e+00
2.23468e+03      1.98072e+00      8.91560e-04
3.42991e+03      2.03655e+00      1.45014e-03
5.26441e+03      2.09359e+00      2.40125e-03
8.08011e+03      2.15024e+00      4.06335e-03
1.24018e+04      2.20539e+00      7.05772e-03
1.90350e+04      2.25841e+00      1.26413e-02
2.92159e+04      2.30911e+00      2.03496e-02
4.48422e+04      2.35761e+00      3.30893e-02
6.88263e+04      2.40423e+00      5.45331e-02
1.05638e+05      2.44947e+00      9.15077e-02
1.62140e+05      2.49381e+00      1.57203e-01
2.48861e+05      2.53770e+00      2.48258e-01
3.81966e+05      2.58151e+00      3.93448e-01
5.86262e+05      2.62552e+00      6.26966e-01
8.99828e+05      2.66994e+00      1.00740e+00
1.38111e+06      2.71491e+00      1.63864e+00
2.11980e+06      2.76055e+00      2.55385e+00
3.25358e+06      2.80695e+00      3.98156e+00
4.99378e+06      2.85418e+00      6.21385e+00
7.66473e+06      2.90228e+00      9.71778e+00
1.17643e+07      2.95130e+00      1.52517e+01
1.80564e+07      3.00127e+00      2.36492e+01
2.77140e+07      3.05225e+00      3.66751e+01
4.25370e+07      3.10424e+00      5.68993e+01
6.52881e+07      3.15730e+00      8.83434e+01
1.00208e+08      3.21145e+00      1.37330e+02
1.53805e+08      3.26671e+00      2.12897e+02
2.36068e+08      3.32312e+00      3.30157e+02
3.62330e+08      3.38070e+00      5.12255e+02
5.56124e+08      3.43949e+00      7.95205e+02
8.53570e+08      3.49951e+00      1.23521e+03
1.31011e+09      3.56079e+00      1.91823e+03
2.01082e+09      3.62335e+00      2.98014e+03
3.08632e+09      3.68724e+00      4.63182e+03
4.73706e+09      3.75246e+00      7.20191e+03
7.27071e+09      3.81906e+00      1.12027e+04
1.11595e+10      3.88706e+00      1.74308e+04
1.71282e+10      3.95649e+00      2.71309e+04
2.62893e+10      4.02737e+00      4.22437e+04
4.03503e+10      4.09974e+00      6.57962e+04
6.19318e+10      4.17362e+00      1.02512e+05
9.50564e+10      4.24904e+00      1.59761e+05
1.45898e+11      4.32603e+00      2.49050e+05
2.23932e+11      4.40462e+00      3.88342e+05
3.43703e+11      4.48483e+00      6.05687e+05
5.27535e+11      4.56669e+00      9.44892e+05
8.09690e+11      4.65023e+00      1.47438e+06
1.24276e+12      4.73549e+00      2.30102e+06
1.90745e+12      4.82247e+00      3.59181e+06
2.92766e+12      4.91123e+00      5.60763e+06
4.49354e+12      5.00177e+00      8.75618e+06
6.89694e+12      5.09414e+00      1.36745e+07
1.05858e+13      5.18835e+00      2.13584e+07
1.62477e+13      5.28444e+00      3.33639e+07
2.49378e+13      5.38244e+00      5.21233e+07
3.82760e+13      5.48237e+00      8.14384e+07
5.87481e+13      5.58426e+00      1.27252e+08
9.01698e+13      5.68814e+00      1.98854e+08
1.38398e+14      5.79403e+00      3.10766e+08
2.12420e+14      5.90197e+00      4.85687e+08
3.26035e+14      6.01198e+00      7.59105e+08
5.00416e+14      6.12410e+00      1.18649e+09
7.68066e+14      6.23834e+00      1.85457e+09
1.17887e+15      6.35474e+00      2.89888e+09
1.80940e+15      6.47333e+00      4.53135e+09
2.77716e+15      6.59412e+00      7.08319e+09
4.26254e+15      6.71716e+00      1.10722e+10
6.54238e+15      6.84247e+00      1.73075e+10
1.00416e+16      6.97007e+00      2.70542e+10
1.54124e+16      7.10000e+00      4.22892e+10
2.36558e+16      7.23229e+00      6.61023e+10
3.63083e+16      7.36695e+00      1.03322e+11
5.57280e+16      7.50402e+00      1.61494e+11
8.55344e+16      7.64353e+00      2.52411e+11
1.31283e+17      7.78551e+00      3.94496e+11
2.01500e+17      7.92998e+00      6.16539e+11
3.09274e+17      8.07697e+00      9.63516e+11
4.74691e+17      8.22651e+00      1.50570e+12
7.28582e+17      8.37863e+00      2.35285e+12
1.11827e+18      8.53335e+00      3.67644e+12
1.71638e+18      8.69070e+00      5.74428e+12
2.63439e+18      8.85072e+00      8.97468e+12
