E(GeV)      b_brem      b_pair      b_nucl     b_total
2.      0.4159      0.1933      0.4473      1.0565
5.      0.5639      0.4679      0.4751      1.5070
10.      0.6847      0.6925      0.4625      1.8397
20.      0.8104      0.9341      0.4425      2.1871
50.      0.9788      1.2762      0.4206      2.6756
100.      1.1021      1.5155      0.4098      3.0275
200.      1.2191      1.7340      0.4045      3.3575
500.      1.3552      1.9512      0.4038      3.7102
1000.      1.4409      2.0823      0.4104      3.9336
2000.      1.5113      2.1721      0.4212      4.1046
5000.      1.5801      2.2507      0.4412      4.2720
10000.      1.6161      2.2878      0.4613      4.3652
20000.      1.6417      2.3112      0.4849      4.4378
50000.      1.6619      2.3300      0.5218      4.5137
100000.      1.6718      2.3378      0.5534      4.5630
