# T(MeV)      dEdx
1.00000e+00      4.05958e+01
1.20000e+00      3.51591e+01
1.40000e+00      3.11155e+01
1.70000e+00      2.66608e+01
2.00000e+00      2.34175e+01
2.50000e+00      1.95917e+01
3.00000e+00      1.69350e+01
3.50000e+00      1.49751e+01
4.00000e+00      1.34656e+01
4.50000e+00      1.22650e+01
5.00000e+00      1.12859e+01
5.50000e+00      1.04711e+01
6.00000e+00      9.78201e+00
7.00000e+00      8.67846e+00
8.00000e+00      7.83242e+00
9.00000e+00      7.16221e+00
1.00000e+01      6.61763e+00
1.20000e+01      5.78527e+00
1.40000e+01      5.17822e+00
1.70000e+01      4.52296e+00
2.00000e+01      4.05612e+00
2.50000e+01      3.51888e+00
3.00000e+01      3.15641e+00
3.50000e+01      2.89611e+00
4.00000e+01      2.70078e+00
4.50000e+01      2.54935e+00
5.00000e+01      2.42897e+00
5.50000e+01      2.33136e+00
6.00000e+01      2.25094e+00
7.00000e+01      2.12712e+00
8.00000e+01      2.03739e+00
9.00000e+01      1.97039e+00
1.00000e+02      1.91928e+00
1.20000e+02      1.84683e+00
1.40000e+02      1.79720e+00
1.70000e+02      1.75212e+00
2.00000e+02      1.72726e+00
2.50000e+02      1.70917e+00
2.96900e+02      1.70579e+00
3.00000e+02      1.70585e+00
3.50000e+02      1.70965e+00
4.00000e+02      1.71707e+00
4.50000e+02      1.72630e+00
5.00000e+02      1.73640e+00
5.50000e+02      1.74684e+00
6.00000e+02      1.75732e+00
7.00000e+02      1.77776e+00
8.00000e+02      1.79706e+00
9.00000e+02      1.81505e+00
1.00000e+03      1.83177e+00
1.20000e+03      1.86174e+00
1.40000e+03      1.88779e+00
1.70000e+03      1.92115e+00
2.00000e+03      1.94926e+00
2.50000e+03      1.98780e+00
3.00000e+03      2.01901e+00
3.50000e+03      2.04507e+00
4.00000e+03      2.06735e+00
4.50000e+03      2.08673e+00
5.00000e+03      2.10385e+00
5.50000e+03      2.11914e+00
6.00000e+03      2.13293e+00
7.00000e+03      2.15695e+00
8.00000e+03      2.17732e+00
9.00000e+03      2.19494e+00
1.00000e+04      2.21042e+00
1.20000e+04      2.23658e+00
1.40000e+04      2.25808e+00
1.70000e+04      2.28436e+00
2.00000e+04      2.30568e+00
2.50000e+04      2.33399e+00
3.00000e+04      2.35635e+00
3.50000e+04      2.37473e+00
4.00000e+04      2.39031e+00
4.50000e+04      2.40380e+00
5.00000e+04      2.41568e+00
5.50000e+04      2.42629e+00
6.00000e+04      2.43587e+00
7.00000e+04      2.45262e+00
8.00000e+04      2.46693e+00
9.00000e+04      2.47941e+00
1.00000e+05      2.49049e+00
1.20000e+05      2.50951e+00
1.40000e+05      2.52547e+00
1.70000e+05      2.54548e+00
2.00000e+05      2.56216e+00
2.50000e+05      2.58500e+00
3.00000e+05      2.60365e+00
3.50000e+05      2.61943e+00
4.00000e+05      2.63311e+00
4.50000e+05      2.64520e+00
5.00000e+05      2.65603e+00
5.50000e+05      2.66584e+00
6.00000e+05      2.67482e+00
6.92700e+05      2.68968e+00
7.00000e+05      2.69076e+00
8.00000e+05      2.70462e+00
9.00000e+05      2.71689e+00
1.00000e+06      2.72791e+00
1.20000e+06      2.74705e+00
1.40000e+06      2.76332e+00
1.70000e+06      2.78394e+00
2.00000e+06      2.80132e+00
2.50000e+06      2.82535e+00
3.00000e+06      2.84514e+00
3.50000e+06      2.86199e+00
4.00000e+06      2.87668e+00
4.50000e+06      2.88970e+00
5.00000e+06      2.90140e+00
5.50000e+06      2.91203e+00
6.00000e+06      2.92177e+00
7.00000e+06      2.93913e+00
8.00000e+06      2.95426e+00
9.00000e+06      2.96767e+00
1.00000e+07      2.97974e+00
1.20000e+07      3.00075e+00
1.40000e+07      3.01865e+00
1.70000e+07      3.04137e+00
2.00000e+07      3.06055e+00
2.50000e+07      3.08712e+00
3.00000e+07      3.10903e+00
3.50000e+07      3.12770e+00
4.00000e+07      3.14399e+00
4.50000e+07      3.15844e+00
5.00000e+07      3.17143e+00
5.50000e+07      3.18324e+00
6.00000e+07      3.19407e+00
7.00000e+07      3.21336e+00
8.00000e+07      3.23018e+00
9.00000e+07      3.24512e+00
1.00000e+08      3.25854e+00
1.20000e+08      3.28194e+00
1.40000e+08      3.30188e+00
1.70000e+08      3.32720e+00
2.00000e+08      3.34858e+00
2.50000e+08      3.37821e+00
3.00000e+08      3.40266e+00
3.50000e+08      3.42349e+00
4.00000e+08      3.44167e+00
4.50000e+08      3.45780e+00
5.00000e+08      3.47231e+00
5.50000e+08      3.48549e+00
6.00000e+08      3.49758e+00
7.00000e+08      3.51913e+00
8.00000e+08      3.53793e+00
9.00000e+08      3.55461e+00
1.00000e+09      3.56961e+00
