# E(MeV)      b_pair      b_brem     b_nucl     b_total(cm^2/g)
2.50000e+03      2.60843e-07      4.67244e-07      2.17561e-07      9.45648e-07
3.00000e+03      2.99123e-07      4.96464e-07      2.13679e-07      1.00927e-06
3.50000e+03      3.37402e-07      5.22043e-07      2.10520e-07      1.06996e-06
4.00000e+03      3.75682e-07      5.44387e-07      2.07873e-07      1.12794e-06
4.50000e+03      4.13961e-07      5.64306e-07      2.05608e-07      1.18388e-06
5.00000e+03      4.52241e-07      5.82292e-07      2.03638e-07      1.23817e-06
5.50000e+03      4.77523e-07      5.98712e-07      2.01900e-07      1.27814e-06
6.00000e+03      5.02806e-07      6.13819e-07      2.00351e-07      1.31698e-06
7.00000e+03      5.53370e-07      6.40819e-07      1.97694e-07      1.39188e-06
8.00000e+03      6.03935e-07      6.64473e-07      1.95483e-07      1.46389e-06
9.00000e+03      6.54500e-07      6.85511e-07      1.93602e-07      1.53361e-06
1.00000e+04      6.81680e-07      7.04435e-07      1.91975e-07      1.57809e-06
1.20000e+04      7.36040e-07      7.37405e-07      1.89283e-07      1.66273e-06
1.40000e+04      7.90400e-07      7.65480e-07      1.87129e-07      1.74301e-06
1.70000e+04      8.71941e-07      8.01098e-07      1.84575e-07      1.85761e-06
2.00000e+04      9.53481e-07      8.31039e-07      1.82573e-07      1.96709e-06
2.50000e+04      1.01481e-06      8.72322e-07      1.80027e-07      2.06716e-06
3.00000e+04      1.07615e-06      9.06008e-07      1.78121e-07      2.16028e-06
3.50000e+04      1.13748e-06      9.34478e-07      1.76632e-07      2.24859e-06
4.00000e+04      1.19881e-06      9.59073e-07      1.75432e-07      2.33332e-06
4.50000e+04      1.26015e-06      9.80772e-07      1.74443e-07      2.41536e-06
5.00000e+04      1.28963e-06      1.00005e-06      1.73589e-07      2.46327e-06
5.50000e+04      1.31911e-06      1.01733e-06      1.72884e-07      2.50933e-06
6.00000e+04      1.34859e-06      1.03327e-06      1.72278e-07      2.55414e-06
7.00000e+04      1.40755e-06      1.06110e-06      1.71291e-07      2.63994e-06
8.00000e+04      1.46652e-06      1.08502e-06      1.70527e-07      2.72206e-06
9.00000e+04      1.49336e-06      1.10595e-06      1.69923e-07      2.76924e-06
1.00000e+05      1.52021e-06      1.12451e-06      1.69437e-07      2.81416e-06
1.20000e+05      1.57390e-06      1.15621e-06      1.68721e-07      2.89883e-06
1.40000e+05      1.62759e-06      1.18257e-06      1.68237e-07      2.97840e-06
1.70000e+05      1.70813e-06      1.21515e-06      1.67787e-07      3.09107e-06
2.00000e+05      1.73681e-06      1.24184e-06      1.67547e-07      3.14621e-06
2.50000e+05      1.78462e-06      1.27748e-06      1.67419e-07      3.22952e-06
3.00000e+05      1.83242e-06      1.30572e-06      1.67488e-07      3.30564e-06
3.50000e+05      1.88023e-06      1.32892e-06      1.67669e-07      3.37682e-06
4.00000e+05      1.92803e-06      1.34847e-06      1.67916e-07      3.44442e-06
4.50000e+05      1.94672e-06      1.36532e-06      1.68204e-07      3.48024e-06
5.00000e+05      1.96541e-06      1.38003e-06      1.68516e-07      3.51396e-06
5.50000e+05      1.98410e-06      1.39304e-06      1.68844e-07      3.54599e-06
6.00000e+05      2.00279e-06      1.40469e-06      1.69180e-07      3.57667e-06
6.92700e+05      2.03744e-06      1.42340e-06      1.69814e-07      3.63066e-06
7.00000e+05      2.03867e-06      1.42474e-06      1.69864e-07      3.63328e-06
8.00000e+05      2.05549e-06      1.44149e-06      1.70546e-07      3.66753e-06
9.00000e+05      2.07231e-06      1.45579e-06      1.71218e-07      3.69932e-06
1.00000e+06      2.08913e-06      1.46819e-06      1.71874e-07      3.72920e-06
1.20000e+06      2.12277e-06      1.48878e-06      1.73132e-07      3.78468e-06
1.40000e+06      2.13426e-06      1.50532e-06      1.74319e-07      3.81390e-06
1.70000e+06      2.15150e-06      1.52502e-06      1.75972e-07      3.85248e-06
2.00000e+06      2.16873e-06      1.54054e-06      1.77492e-07      3.88676e-06
2.50000e+06      2.19746e-06      1.56042e-06      1.79782e-07      3.93766e-06
3.00000e+06      2.22619e-06      1.57546e-06      1.81826e-07      3.98348e-06
3.50000e+06      2.23445e-06      1.58735e-06      1.83677e-07      4.00548e-06
4.00000e+06      2.24270e-06      1.59706e-06      1.85371e-07      4.02513e-06
4.50000e+06      2.25095e-06      1.60517e-06      1.86934e-07      4.04305e-06
5.00000e+06      2.25921e-06      1.61207e-06      1.88388e-07      4.05966e-06
5.50000e+06      2.26746e-06      1.61805e-06      1.89748e-07      4.07525e-06
6.00000e+06      2.27063e-06      1.62327e-06      1.91027e-07      4.08493e-06
7.00000e+06      2.27697e-06      1.63201e-06      1.93381e-07      4.10236e-06
8.00000e+06      2.28331e-06      1.63908e-06      1.95510e-07      4.11790e-06
9.00000e+06      2.28965e-06      1.64493e-06      1.97457e-07      4.13204e-06
1.00000e+07      2.29598e-06      1.64988e-06      1.99255e-07      4.14512e-06
1.20000e+07      2.29925e-06      1.65782e-06      2.02489e-07      4.15956e-06
1.40000e+07      2.30251e-06      1.66395e-06      2.05345e-07      4.17181e-06
1.70000e+07      2.30741e-06      1.67096e-06      2.09101e-07      4.18747e-06
2.00000e+07      2.31230e-06      1.67627e-06      2.12382e-07      4.20096e-06
2.50000e+07      2.32046e-06      1.68282e-06      2.17089e-07      4.22038e-06
3.00000e+07      2.32301e-06      1.68753e-06      2.21109e-07      4.23164e-06
3.50000e+07      2.32555e-06      1.69111e-06      2.24630e-07      4.24129e-06
4.00000e+07      2.32809e-06      1.69395e-06      2.27770e-07      4.24981e-06
4.50000e+07      2.33063e-06      1.69626e-06      2.30609e-07      4.25750e-06
5.00000e+07      2.33318e-06      1.69818e-06      2.33205e-07      4.26456e-06
5.50000e+07      2.33404e-06      1.69981e-06      2.35597e-07      4.26945e-06
6.00000e+07      2.33491e-06      1.70121e-06      2.37819e-07      4.27394e-06
7.00000e+07      2.33665e-06      1.70349e-06      2.41843e-07      4.28198e-06
8.00000e+07      2.33838e-06      1.70528e-06      2.45418e-07      4.28908e-06
9.00000e+07      2.34012e-06      1.70674e-06      2.48642e-07      4.29550e-06
1.00000e+08      2.34063e-06      1.70794e-06      2.51581e-07      4.30014e-06
1.20000e+08      2.34165e-06      1.70982e-06      2.56790e-07      4.30825e-06
1.40000e+08      2.34267e-06      1.71122e-06      2.61316e-07      4.31521e-06
1.70000e+08      2.34420e-06      1.71274e-06      2.67176e-07      4.32412e-06
2.00000e+08      2.34573e-06      1.71389e-06      2.72206e-07      4.33183e-06
2.50000e+08      2.34632e-06      1.71526e-06      2.79290e-07      4.34087e-06
3.00000e+08      2.34691e-06      1.71622e-06      2.85288e-07      4.34842e-06
3.50000e+08      2.34750e-06      1.71693e-06      2.90481e-07      4.35492e-06
4.00000e+08      2.34809e-06      1.71748e-06      2.95070e-07      4.36065e-06
4.50000e+08      2.34869e-06      1.71793e-06      2.99188e-07      4.36580e-06
5.00000e+08      2.34885e-06      1.71829e-06      3.02926e-07      4.37007e-06
5.50000e+08      2.34902e-06      1.71859e-06      3.06353e-07      4.37396e-06
6.00000e+08      2.34918e-06      1.71885e-06      3.09519e-07      4.37755e-06
7.00000e+08      2.34951e-06      1.71927e-06      3.15215e-07      4.38400e-06
