# E(MeV)      dEdx_ion(MeV.cm^2/g)      dEdx_rad(MeV.cm^2/g)
1.00000e+00      4.05958e+01      0.00000e+00
1.20000e+00      3.51591e+01      0.00000e+00
1.40000e+00      3.11155e+01      0.00000e+00
1.70000e+00      2.66608e+01      0.00000e+00
2.00000e+00      2.34175e+01      0.00000e+00
2.50000e+00      1.95917e+01      0.00000e+00
3.00000e+00      1.69350e+01      0.00000e+00
3.50000e+00      1.49751e+01      0.00000e+00
4.00000e+00      1.34656e+01      0.00000e+00
4.50000e+00      1.22650e+01      0.00000e+00
5.00000e+00      1.12859e+01      0.00000e+00
5.50000e+00      1.04711e+01      0.00000e+00
6.00000e+00      9.78201e+00      0.00000e+00
7.00000e+00      8.67846e+00      0.00000e+00
8.00000e+00      7.83242e+00      0.00000e+00
9.00000e+00      7.16221e+00      0.00000e+00
1.00000e+01      6.61763e+00      0.00000e+00
1.20000e+01      5.78527e+00      0.00000e+00
1.40000e+01      5.17822e+00      0.00000e+00
1.70000e+01      4.52296e+00      0.00000e+00
2.00000e+01      4.05612e+00      0.00000e+00
2.50000e+01      3.51888e+00      0.00000e+00
3.00000e+01      3.15641e+00      0.00000e+00
3.50000e+01      2.89611e+00      0.00000e+00
4.00000e+01      2.70078e+00      0.00000e+00
4.50000e+01      2.54935e+00      0.00000e+00
5.00000e+01      2.42897e+00      0.00000e+00
5.50000e+01      2.33136e+00      0.00000e+00
6.00000e+01      2.25094e+00      0.00000e+00
7.00000e+01      2.12712e+00      0.00000e+00
8.00000e+01      2.03739e+00      0.00000e+00
9.00000e+01      1.97039e+00      0.00000e+00
1.00000e+02      1.91570e+00      0.00000e+00
1.20000e+02      1.83684e+00      0.00000e+00
1.40000e+02      1.78578e+00      0.00000e+00
1.70000e+02      1.73898e+00      0.00000e+00
2.00000e+02      1.71274e+00      0.00000e+00
2.50000e+02      1.69278e+00      0.00000e+00
2.96900e+02      1.68799e+00      0.00000e+00
3.00000e+02      1.68795e+00      0.00000e+00
3.50000e+02      1.69049e+00      0.00000e+00
4.00000e+02      1.69681e+00      0.00000e+00
4.50000e+02      1.70508e+00      0.00000e+00
5.00000e+02      1.71433e+00      0.00000e+00
5.50000e+02      1.72400e+00      0.00000e+00
6.00000e+02      1.73378e+00      0.00000e+00
7.00000e+02      1.75300e+00      0.00000e+00
8.00000e+02      1.77125e+00      0.00000e+00
9.00000e+02      1.78834e+00      0.00000e+00
1.00000e+03      1.80426e+00      0.00000e+00
1.20000e+03      1.83289e+00      0.00000e+00
1.40000e+03      1.85786e+00      0.00000e+00
1.70000e+03      1.88989e+00      0.00000e+00
2.00000e+03      1.91696e+00      0.00000e+00
2.50000e+03      1.95413e+00      2.36412e-03
3.00000e+03      1.98430e+00      3.02780e-03
3.50000e+03      2.00953e+00      3.74488e-03
4.00000e+03      2.03113e+00      4.51177e-03
4.50000e+03      2.04995e+00      5.32744e-03
5.00000e+03      2.06659e+00      6.19085e-03
5.50000e+03      2.08146e+00      7.02975e-03
6.00000e+03      2.09488e+00      7.90185e-03
7.00000e+03      2.11829e+00      9.74319e-03
8.00000e+03      2.13816e+00      1.17111e-02
9.00000e+03      2.15537e+00      1.38025e-02
1.00000e+04      2.17051e+00      1.57809e-02
1.20000e+04      2.19613e+00      1.99527e-02
1.40000e+04      2.21721e+00      2.44021e-02
1.70000e+04      2.24303e+00      3.15794e-02
2.00000e+04      2.26400e+00      3.93418e-02
2.50000e+04      2.29191e+00      5.16791e-02
3.00000e+04      2.31399e+00      6.48083e-02
3.50000e+04      2.33217e+00      7.87006e-02
4.00000e+04      2.34760e+00      9.33327e-02
4.50000e+04      2.36098e+00      1.08691e-01
5.00000e+04      2.37278e+00      1.23163e-01
5.50000e+04      2.38332e+00      1.38013e-01
6.00000e+04      2.39285e+00      1.53248e-01
7.00000e+04      2.40952e+00      1.84796e-01
8.00000e+04      2.42378e+00      2.17765e-01
9.00000e+04      2.43624e+00      2.49232e-01
1.00000e+05      2.44730e+00      2.81416e-01
1.20000e+05      2.46631e+00      3.47860e-01
1.40000e+05      2.48228e+00      4.16976e-01
1.70000e+05      2.50228e+00      5.25482e-01
2.00000e+05      2.51896e+00      6.29241e-01
2.50000e+05      2.54181e+00      8.07379e-01
3.00000e+05      2.56046e+00      9.91691e-01
3.50000e+05      2.57623e+00      1.18189e+00
4.00000e+05      2.58991e+00      1.37777e+00
4.50000e+05      2.60200e+00      1.56611e+00
5.00000e+05      2.61283e+00      1.75698e+00
5.50000e+05      2.62264e+00      1.95030e+00
6.00000e+05      2.63162e+00      2.14600e+00
6.92700e+05      2.64648e+00      2.51496e+00
7.00000e+05      2.64756e+00      2.54329e+00
8.00000e+05      2.66143e+00      2.93402e+00
9.00000e+05      2.67370e+00      3.32939e+00
1.00000e+06      2.68471e+00      3.72920e+00
1.20000e+06      2.70385e+00      4.54161e+00
1.40000e+06      2.72012e+00      5.33945e+00
1.70000e+06      2.74074e+00      6.54922e+00
2.00000e+06      2.75812e+00      7.77353e+00
2.50000e+06      2.78215e+00      9.84416e+00
3.00000e+06      2.80195e+00      1.19504e+01
3.50000e+06      2.81880e+00      1.40192e+01
4.00000e+06      2.83348e+00      1.61005e+01
4.50000e+06      2.84650e+00      1.81937e+01
5.00000e+06      2.85820e+00      2.02983e+01
5.50000e+06      2.86883e+00      2.24139e+01
6.00000e+06      2.87858e+00      2.45096e+01
7.00000e+06      2.89593e+00      2.87165e+01
8.00000e+06      2.91106e+00      3.29432e+01
